data_size,model_size,train_loss,eval_loss,compute
780672,2,0.007384632,0.038591237,3122688
793472,2,0.002482255,0.042715234,3173888
806272,2,0.006982236,0.046806701,3225088
819072,2,0.014581007,0.042414074,3276288
831872,2,0.011515279,0.047868376,3327488
844672,2,0.015223361,0.043227914,3378688
857472,2,0.018103091,0.044066502,3429888
870272,2,0.005759559,0.042083075,3481088
883072,2,0.004133471,0.0423125,3532288
895872,2,0.012926853,0.037543561,3583488
908672,2,0.001953691,0.042423981,3634688
921472,2,0.007536924,0.045703174,3685888
934272,2,0.003672865,0.039820586,3737088
947072,2,0.007724164,0.037979574,3788288
959872,2,0.022249244,0.044556367,3839488
972672,2,0.011675348,0.051320212,3890688
985472,2,0.023612024,0.042174814,3941888
998272,2,0.006723389,0.045429318,3993088
1011072,2,0.012089042,0.050075192,4044288
1023872,2,0.001949678,0.046630215,4095488
1036672,2,0.034425281,0.044359042,4146688
1049472,2,0.027575647,0.043791348,4197888
1062272,2,0.008150454,0.043645626,4249088
1075072,2,0.001155511,0.053042189,4300288
1087872,2,0.001174483,0.040244885,4351488
1100672,2,0.028818419,0.039533026,4402688
1113472,2,0.014745126,0.042386424,4453888
1126272,2,0.000671845,0.043076649,4505088
1139072,2,0.002390434,0.042251531,4556288
1151872,2,0.001815197,0.040900266,4607488
1164672,2,0.008500254,0.046534713,4658688
1177472,2,0.003354579,0.040958764,4709888
1190272,2,0.002961807,0.049802449,4761088
1203072,2,0.032852214,0.044733407,4812288
1215872,2,0.000316028,0.040980081,4863488
1228672,2,0.010152792,0.047048982,4914688
1241472,2,0.006214474,0.044678317,4965888
1254272,2,0.013604538,0.042597741,5017088
1267072,2,0.004879958,0.046233625,5068288
1279872,2,0.021207996,0.043556388,5119488
1292672,2,0.039215676,0.045596774,5170688
1305472,2,0.002627917,0.044660675,5221888
1318272,2,0.013210739,0.04249615,5273088
1331072,2,0.006714412,0.047281999,5324288
1343872,2,0.004398996,0.048136998,5375488
1356672,2,0.008481985,0.043036377,5426688
1369472,2,0.010416482,0.043349312,5477888
1382272,2,0.016396169,0.042720972,5529088
1395072,2,0.00181436,0.041307643,5580288
1407872,2,0.020530293,0.048905771,5631488
1420672,2,0.000716718,0.04748483,5682688
1433472,2,0.002039514,0.043739833,5733888
1446272,2,0.029925285,0.045090937,5785088
1459072,2,0.000978693,0.045469499,5836288
1471872,2,0.070076719,0.050175048,5887488
1484672,2,0.003864178,0.047547745,5938688
1497472,2,0.02160072,0.042853171,5989888
1510272,2,0.029395489,0.047302612,6041088
1523072,2,0.004338067,0.061330739,6092288
1535872,2,0.003129662,0.051272696,6143488
1548672,2,0.022632219,0.0451007,6194688
1561472,2,0.003356788,0.049100631,6245888
1574272,2,0.008483277,0.048507655,6297088
1587072,2,0.009239287,0.046481615,6348288
1599872,2,0.012632874,0.051517204,6399488
1612672,2,0.005740318,0.051432299,6450688
1625472,2,0.03536132,0.052649711,6501888
1638272,2,0.042164586,0.05117864,6553088
1651072,2,0.042376857,0.044315681,6604288
1663872,2,0.026831117,0.044951768,6655488
1676672,2,0.029085955,0.047831122,6706688
1689472,2,0.001736937,0.041965835,6757888
1702272,2,0.000370152,0.042814577,6809088
1715072,2,0.001314921,0.047938627,6860288
1727872,2,0.01632751,0.044849398,6911488
1740672,2,0.003014837,0.05486563,6962688
1753472,2,0.004133458,0.054062227,7013888
1766272,2,0.000444357,0.048037154,7065088
1779072,2,0.005097963,0.042078525,7116288
1791872,2,0.011151338,0.049060694,7167488
1804672,2,0.012286901,0.047757713,7218688
1817472,2,0.031510804,0.046667681,7269888
1830272,2,0.014054791,0.051389962,7321088
1843072,2,0.000758351,0.046309433,7372288
1855872,2,0.007980165,0.042991333,7423488
1868672,2,0.000631774,0.054312826,7474688
1881472,2,0.001476806,0.04803697,7525888
1894272,2,0.029094635,0.051286791,7577088
1907072,2,0.000383097,0.054387906,7628288
1919872,2,0.004437219,0.058513026,7679488
12672,2.828427125,0.098212585,0.125217938,101376
25472,2.828427125,0.041160442,0.095402524,203776
38272,2.828427125,0.10462179,0.075239229,306176
51072,2.828427125,0.037803467,0.103249379,408576
63872,2.828427125,0.031690426,0.063461617,510976
76672,2.828427125,0.052153938,0.057938138,613376
89472,2.828427125,0.039258871,0.062143151,715776
102272,2.828427125,0.061901074,0.069406217,818176
115072,2.828427125,0.037108433,0.049047848,920576
127872,2.828427125,0.120706297,0.05960562,1022976
140672,2.828427125,0.012936466,0.06701758,1125376
153472,2.828427125,0.020355083,0.064945297,1227776
166272,2.828427125,0.034192536,0.049253146,1330176
179072,2.828427125,0.002128383,0.041757919,1432576
191872,2.828427125,0.034178801,0.047220381,1534976
204672,2.828427125,0.086094759,0.041367294,1637376
217472,2.828427125,0.021273868,0.042163645,1739776
230272,2.828427125,0.072698019,0.042959346,1842176
243072,2.828427125,0.038175702,0.046166445,1944576
255872,2.828427125,0.066454813,0.045534405,2046976
268672,2.828427125,0.032555416,0.040968944,2149376
281472,2.828427125,0.007820051,0.047743975,2251776
294272,2.828427125,0.013202509,0.036347065,2354176
307072,2.828427125,0.044644367,0.042702466,2456576
319872,2.828427125,0.001477777,0.042039458,2558976
332672,2.828427125,0.032029759,0.047561971,2661376
345472,2.828427125,0.047510874,0.039125747,2763776
358272,2.828427125,0.017492717,0.03915849,2866176
371072,2.828427125,0.011867207,0.041821736,2968576
383872,2.828427125,0.005551985,0.046242847,3070976
396672,2.828427125,0.046655364,0.042012769,3173376
409472,2.828427125,0.037145551,0.043981385,3275776
422272,2.828427125,0.074230991,0.041075524,3378176
435072,2.828427125,0.005842946,0.041550161,3480576
