,data_size,model_size,eval_loss,compute
718,0.09,11.31,53.8,11.31
719,0.06,11.31,186.93,8.0
720,1.0,16.0,7.17,256.0
721,0.71,16.0,9.48,181.02
722,0.5,16.0,9.08,128.0
723,0.35,16.0,12.76,90.51
724,0.25,16.0,13.67,64.0
725,0.18,16.0,11.8,45.25
726,0.12,16.0,18.48,32.0
727,0.09,16.0,27.64,22.63
728,0.06,16.0,200.31,16.0
729,1.0,1.0,16.49,1.0
730,0.71,1.0,13.41,0.71
731,0.5,1.0,20.39,0.5
732,0.35,1.0,20.75,0.35
733,0.25,1.0,24.53,0.25
734,0.18,1.0,26.72,0.18
735,0.12,1.0,30.6,0.12
736,0.09,1.0,68.25,0.09
737,0.06,1.0,91.36,0.06
738,1.0,1.41,12.17,2.0
739,0.71,1.41,13.61,1.41
740,0.5,1.41,16.32,1.0
741,0.35,1.41,24.68,0.71
742,0.25,1.41,19.85,0.5
743,0.18,1.41,25.46,0.35
744,0.12,1.41,28.25,0.25
745,0.09,1.41,40.72,0.18
746,0.06,1.41,77.57,0.12
747,1.0,2.0,15.48,4.0
748,0.71,2.0,13.08,2.83
749,0.5,2.0,11.23,2.0
750,0.35,2.0,27.2,1.41
751,0.25,2.0,16.47,1.0
752,0.18,2.0,24.43,0.71
753,0.12,2.0,29.57,0.5
754,0.09,2.0,29.77,0.35
755,0.06,2.0,40.99,0.25
756,1.0,2.83,12.38,8.0
757,0.71,2.83,11.8,5.66
758,0.5,2.83,12.25,4.0
759,0.35,2.83,15.15,2.83
760,0.25,2.83,15.02,2.0
761,0.18,2.83,20.15,1.41
762,0.12,2.83,19.7,1.0
763,0.09,2.83,42.59,0.71
764,0.06,2.83,71.25,0.5
765,1.0,4.0,7.17,16.0
766,0.71,4.0,13.02,11.31
767,0.5,4.0,12.9,8.0
768,0.35,4.0,15.71,5.66
769,0.25,4.0,12.55,4.0
770,0.18,4.0,18.15,2.83
771,0.12,4.0,17.96,2.0
772,0.09,4.0,37.48,1.41
773,0.06,4.0,274.72,1.0
774,1.0,5.66,7.83,32.0
775,0.71,5.66,9.66,22.63
776,0.5,5.66,11.24,16.0
777,0.35,5.66,14.52,11.31
778,0.25,5.66,17.61,8.0
779,0.18,5.66,17.68,5.66
780,0.12,5.66,31.43,4.0
781,0.09,5.66,47.73,2.83
782,0.06,5.66,73.05,2.0
783,1.0,8.0,6.36,64.0
784,0.71,8.0,12.52,45.25
785,0.5,8.0,13.49,32.0
786,0.35,8.0,15.25,22.63
787,0.25,8.0,12.45,16.0
788,0.18,8.0,21.25,11.31
789,0.12,8.0,18.32,8.0
790,0.09,8.0,74.41,5.66
791,0.06,8.0,92.42,4.0
792,1.0,11.31,7.4,128.0
793,0.71,11.31,15.16,90.51
794,0.5,11.31,12.35,64.0
795,0.35,11.31,12.41,45.25
796,0.25,11.31,12.82,32.0
797,0.18,11.31,13.24,22.63
798,0.12,11.31,16.98,16.0
799,0.09,11.31,54.87,11.31
800,0.06,11.31,179.94,8.0
801,1.0,16.0,9.84,256.0
802,0.71,16.0,9.14,181.02
803,0.5,16.0,11.7,128.0
804,0.35,16.0,16.07,90.51
805,0.25,16.0,14.13,64.0
806,0.18,16.0,14.59,45.25
807,0.12,16.0,17.24,32.0
808,0.09,16.0,63.46,22.63
809,0.06,16.0,93.03,16.0
810,1.0,1.0,13.88,1.0
811,0.71,1.0,16.67,0.71
812,0.5,1.0,18.19,0.5
813,0.35,1.0,20.33,0.35
814,1.0,1.41,14.16,2.0
815,0.71,1.41,11.3,1.41
816,0.5,1.41,14.44,1.0
817,0.35,1.41,19.32,0.71
818,1.0,2.0,9.75,4.0
819,0.71,2.0,15.25,2.83
820,0.5,2.0,18.37,2.0
821,0.35,2.0,15.97,1.41
822,1.0,2.83,8.53,8.0
823,0.71,2.83,15.24,5.66
824,0.5,2.83,11.0,4.0
825,0.35,2.83,13.31,2.83
826,1.0,4.0,11.13,16.0
827,0.71,4.0,19.97,11.31
828,0.5,4.0,11.94,8.0
829,0.35,4.0,18.25,5.66
830,1.0,5.66,9.41,32.0
831,0.71,5.66,14.28,22.63
832,0.5,5.66,14.03,16.0
833,0.35,5.66,9.47,11.31
834,1.0,8.0,7.39,64.0
835,0.71,8.0,14.1,45.25
836,0.5,8.0,11.67,32.0
837,0.35,8.0,9.05,22.63
838,1.0,11.31,7.43,128.0
839,0.71,11.31,10.24,90.51
840,0.5,11.31,11.23,64.0
841,0.35,11.31,8.87,45.25
842,1.0,16.0,7.3,256.0
843,0.71,16.0,11.99,181.02
844,0.5,16.0,12.9,128.0
845,0.35,16.0,11.16,90.51
846,1.0,1.0,13.37,1.0
847,0.71,1.0,16.55,0.71
848,0.5,1.0,17.68,0.5
849,0.35,1.0,22.88,0.35
850,1.0,1.41,14.4,2.0
851,0.71,1.41,32.06,1.41
852,0.5,1.41,20.53,1.0
853,0.35,1.41,19.15,0.71
854,1.0,2.0,10.37,4.0
855,0.71,2.0,13.79,2.83
856,0.5,2.0,13.32,2.0
857,0.35,2.0,14.69,1.41
858,1.0,2.83,8.85,8.0
859,0.71,2.83,9.79,5.66
860,0.5,2.83,18.85,4.0
861,0.35,2.83,11.11,2.83
862,1.0,4.0,8.39,16.0
863,0.71,4.0,9.07,11.31
864,0.5,4.0,8.88,8.0
865,0.35,4.0,12.11,5.66
866,1.0,5.66,10.05,32.0
867,0.71,5.66,10.56,22.63
868,0.5,5.66,9.88,16.0
869,0.35,5.66,21.8,11.31
870,1.0,8.0,7.97,64.0
871,0.71,8.0,10.76,45.25
872,0.5,8.0,10.44,32.0
873,0.35,8.0,12.08,22.63
874,1.0,11.31,8.79,128.0
875,0.71,11.31,8.09,90.51
876,0.5,11.31,10.58,64.0
877,0.35,11.31,11.28,45.25
878,1.0,16.0,7.65,256.0
879,0.71,16.0,20.07,181.02
880,0.5,16.0,10.38,128.0
881,0.35,16.0,12.32,90.51
882,1.0,1.0,16.63,1.0
883,0.71,1.0,17.25,0.71
884,0.5,1.0,28.77,0.5
885,0.35,1.0,22.32,0.35
886,1.0,1.41,11.44,2.0
887,0.71,1.41,37.24,1.41
888,0.5,1.41,27.69,1.0
889,0.35,1.41,18.89,0.71
890,1.0,2.0,12.03,4.0
891,0.71,2.0,14.36,2.83
892,0.5,2.0,13.29,2.0
893,0.35,2.0,15.33,1.41
894,1.0,2.83,12.05,8.0
895,0.71,2.83,11.02,5.66
896,0.5,2.83,14.82,4.0
897,0.35,2.83,13.02,2.83
898,1.0,4.0,9.51,16.0
899,0.71,4.0,10.53,11.31
900,0.5,4.0,18.28,8.0
901,0.35,4.0,11.57,5.66
902,1.0,5.66,7.31,32.0
903,0.71,5.66,16.43,22.63
904,0.5,5.66,17.29,16.0
905,0.35,5.66,12.51,11.31
906,1.0,8.0,7.39,64.0
907,0.71,8.0,8.73,45.25
908,0.5,8.0,10.62,32.0
909,0.35,8.0,12.55,22.63
910,1.0,11.31,7.92,128.0
911,0.71,11.31,8.66,90.51
912,0.5,11.31,23.83,64.0
913,0.35,11.31,12.08,45.25
914,1.0,16.0,11.84,256.0
915,0.71,16.0,10.53,181.02
916,0.5,16.0,21.13,128.0
917,0.35,16.0,11.0,90.51
918,1.0,1.0,25.25,1.0
919,0.71,1.0,14.65,0.71
920,0.5,1.0,20.71,0.5
921,0.35,1.0,29.22,0.35
922,1.0,1.41,18.36,2.0
923,0.71,1.41,13.94,1.41
924,0.5,1.41,14.09,1.0
925,0.35,1.41,18.81,0.71
926,1.0,2.0,9.94,4.0
927,0.71,2.0,10.82,2.83
928,0.5,2.0,11.21,2.0
929,0.35,2.0,13.83,1.41
930,1.0,2.83,8.27,8.0
931,0.71,2.83,11.9,5.66
932,0.5,2.83,10.63,4.0
933,0.35,2.83,14.02,2.83
934,1.0,4.0,8.39,16.0
935,0.71,4.0,9.48,11.31
936,0.5,4.0,11.25,8.0
937,0.35,4.0,10.97,5.66
938,1.0,5.66,7.11,32.0
939,0.71,5.66,9.03,22.63
940,0.5,5.66,11.7,16.0
941,0.35,5.66,16.71,11.31
942,1.0,8.0,6.33,64.0
943,0.71,8.0,10.05,45.25
944,0.5,8.0,9.81,32.0
945,0.35,8.0,18.45,22.63
946,1.0,11.31,9.14,128.0
947,0.71,11.31,10.65,90.51
948,0.5,11.31,11.46,64.0
949,0.35,11.31,12.32,45.25
950,1.0,16.0,7.49,256.0
951,0.71,16.0,7.51,181.02
952,0.5,16.0,22.11,128.0
953,0.35,16.0,11.45,90.51
954,1.0,1.0,17.17,1.0
955,0.71,1.0,15.5,0.71
956,0.5,1.0,19.35,0.5
957,0.35,1.0,19.33,0.35
958,1.0,1.41,11.72,2.0
959,0.71,1.41,15.99,1.41
960,0.5,1.41,16.23,1.0
961,0.35,1.41,18.04,0.71
962,1.0,2.0,15.04,4.0
963,0.71,2.0,12.74,2.83
964,0.5,2.0,15.08,2.0
965,0.35,2.0,11.24,1.41
966,1.0,2.83,8.33,8.0
967,0.71,2.83,9.87,5.66
968,0.5,2.83,12.97,4.0
969,0.35,2.83,14.64,2.83
970,1.0,4.0,8.77,16.0
971,0.71,4.0,11.51,11.31
972,0.5,4.0,14.57,8.0
973,0.35,4.0,12.67,5.66
974,1.0,5.66,8.78,32.0
975,0.71,5.66,10.33,22.63
976,0.5,5.66,11.92,16.0
977,0.35,5.66,14.67,11.31
978,1.0,8.0,7.79,64.0
979,0.71,8.0,6.06,45.25
980,0.5,8.0,9.87,32.0
981,0.35,8.0,14.74,22.63
982,1.0,11.31,7.08,128.0
983,0.71,11.31,8.83,90.51
984,0.5,11.31,10.16,64.0
985,0.35,11.31,11.41,45.25
986,1.0,16.0,12.39,256.0
987,0.71,16.0,11.74,181.02
988,0.5,16.0,11.16,128.0
989,0.35,16.0,13.75,90.51
990,1.0,1.0,11.88,1.0
991,0.71,1.0,14.9,0.71
992,0.5,1.0,24.22,0.5
993,0.35,1.0,19.35,0.35
994,1.0,1.41,13.14,2.0
995,0.71,1.41,13.31,1.41
996,0.5,1.41,18.35,1.0
997,0.35,1.41,28.78,0.71
998,1.0,2.0,14.29,4.0
999,0.71,2.0,10.35,2.83
1000,0.5,2.0,13.36,2.0
1001,0.35,2.0,11.9,1.41
1002,1.0,2.83,9.5,8.0
1003,0.71,2.83,8.17,5.66
1004,0.5,2.83,14.96,4.0
1005,0.35,2.83,11.42,2.83
1006,1.0,4.0,15.04,16.0
1007,0.71,4.0,11.62,11.31
1008,0.5,4.0,12.33,8.0
1009,0.35,4.0,15.24,5.66
1010,1.0,5.66,8.07,32.0
1011,0.71,5.66,10.04,22.63
1012,0.5,5.66,9.76,16.0
1013,0.35,5.66,11.2,11.31
1014,1.0,8.0,9.03,64.0
1015,0.71,8.0,8.49,45.25
1016,0.5,8.0,13.29,32.0
1017,0.35,8.0,13.83,22.63
1018,1.0,11.31,5.5,128.0
1019,0.71,11.31,8.59,90.51
1020,0.5,11.31,11.31,64.0
1021,0.35,11.31,15.91,45.25
1022,1.0,16.0,8.32,256.0
1023,0.71,16.0,7.93,181.02
1024,0.5,16.0,15.91,128.0
1025,0.35,16.0,11.02,90.51
1026,1.0,1.0,16.43,1.0
1027,0.71,1.0,24.27,0.71
1028,0.5,1.0,17.4,0.5
1029,0.35,1.0,22.31,0.35
1030,1.0,1.41,12.91,2.0
1031,0.71,1.41,15.27,1.41
1032,0.5,1.41,16.32,1.0
1033,0.35,1.41,15.88,0.71
1034,1.0,2.0,14.34,4.0
1035,0.71,2.0,15.13,2.83
1036,0.5,2.0,19.18,2.0
1037,0.35,2.0,16.18,1.41
1038,1.0,2.83,7.94,8.0
1039,0.71,2.83,10.51,5.66
1040,0.5,2.83,13.86,4.0
1041,0.35,2.83,13.04,2.83
1042,1.0,4.0,9.14,16.0
1043,0.71,4.0,8.39,11.31
1044,0.5,4.0,11.18,8.0
1045,0.35,4.0,21.96,5.66
1046,1.0,5.66,6.16,32.0
1047,0.71,5.66,10.21,22.63
1048,0.5,5.66,8.73,16.0
1049,0.35,5.66,13.32,11.31
1050,1.0,8.0,15.05,64.0
1051,0.71,8.0,11.26,45.25
1052,0.5,8.0,10.79,32.0
1053,0.35,8.0,16.56,22.63
1054,1.0,11.31,8.47,128.0
1055,0.71,11.31,15.0,90.51
1056,0.5,11.31,12.23,64.0
1057,0.35,11.31,13.05,45.25
1058,1.0,16.0,9.11,256.0
1059,0.71,16.0,6.72,181.02
1060,0.5,16.0,14.69,128.0
1061,0.35,16.0,12.7,90.51
1062,1.0,1.0,14.05,1.0
1063,0.71,1.0,19.65,0.71
1064,0.5,1.0,15.92,0.5
1065,0.35,1.0,21.11,0.35
1066,1.0,1.41,10.18,2.0
1067,0.71,1.41,17.09,1.41
1068,0.5,1.41,16.44,1.0
1069,0.35,1.41,15.9,0.71
1070,1.0,2.0,17.84,4.0
1071,0.71,2.0,14.08,2.83
1072,0.5,2.0,13.63,2.0
1073,0.35,2.0,16.3,1.41
1074,1.0,2.83,8.78,8.0
1075,0.71,2.83,11.82,5.66
1076,0.5,2.83,14.73,4.0
1077,0.35,2.83,15.7,2.83
1078,1.0,4.0,8.27,16.0
1079,0.71,4.0,12.67,11.31
1080,0.5,4.0,7.37,8.0
1081,0.35,4.0,13.61,5.66
