,step,model_size,train_loss,eval_loss,compute,eval_min,train_min,params
144,959872,1.0,0.031650256,0.072536461,122863616.0,0.060584278,0.005780931,1.0
145,972672,1.0,0.066562913,0.070628464,124502016.0,0.060584278,0.005780931,1.0
146,985472,1.0,0.02570148,0.068963352,126140416.0,0.060584278,0.005780931,1.0
147,998272,1.0,0.036961753,0.077074306,127778816.0,0.060584278,0.005780931,1.0
148,1011072,1.0,0.021002742,0.073937899,129417216.0,0.060584278,0.005780931,1.0
149,1023872,1.0,0.007515546,0.073989819,131055616.0,0.060584278,0.005780931,1.0
150,1036672,1.0,0.037364542,0.074933891,132694016.0,0.060584278,0.005780931,1.0
151,1049472,1.0,0.090528153,0.072223183,134332416.0,0.060584278,0.005780931,1.0
152,1062272,1.0,0.051385079,0.068381327,135970816.0,0.060584278,0.005780931,1.0
153,1075072,1.0,0.042460997,0.070713567,137609216.0,0.060584278,0.005780931,1.0
154,1087872,1.0,0.020954059,0.076040344,139247616.0,0.060584278,0.005780931,1.0
155,1100672,1.0,0.043735456,0.070662093,140886016.0,0.060584278,0.005780931,1.0
156,1113472,1.0,0.050228626,0.071879469,142524416.0,0.060584278,0.005780931,1.0
157,1126272,1.0,0.082129613,0.072152344,144162816.0,0.060584278,0.005780931,1.0
158,1139072,1.0,0.048341654,0.071021012,145801216.0,0.060584278,0.005780931,1.0
159,1151872,1.0,0.03703424,0.077593597,147439616.0,0.060584278,0.005780931,1.0
160,1164672,1.0,0.030794604,0.077608948,149078016.0,0.060584278,0.005780931,1.0
161,1177472,1.0,0.029469611,0.073685216,150716416.0,0.060584278,0.005780931,1.0
162,1190272,1.0,0.038560811,0.069703053,152354816.0,0.060584278,0.005780931,1.0
163,1203072,1.0,0.020760031,0.068263306,153993216.0,0.060584278,0.005780931,1.0
164,1215872,1.0,0.041776814,0.068119537,155631616.0,0.060584278,0.005780931,1.0
165,1228672,1.0,0.019159706,0.06968842,157270016.0,0.060584278,0.005780931,1.0
166,1241472,1.0,0.022028066,0.076507381,158908416.0,0.060584278,0.005780931,1.0
167,1254272,1.0,0.127543509,0.073951108,160546816.0,0.060584278,0.005780931,1.0
168,1267072,1.0,0.080116272,0.068479203,162185216.0,0.060584278,0.005780931,1.0
169,1279872,1.0,0.129635781,0.07440013,163823616.0,0.060584278,0.005780931,1.0
170,1292672,1.0,0.09344814,0.066083229,165462016.0,0.060584278,0.005780931,1.0
171,1305472,1.0,0.061468247,0.071769764,167100416.0,0.060584278,0.005780931,1.0
172,1318272,1.0,0.072522618,0.077636172,168738816.0,0.060584278,0.005780931,1.0
173,1331072,1.0,0.017281849,0.075352816,170377216.0,0.060584278,0.005780931,1.0
174,1343872,1.0,0.046095092,0.067524342,172015616.0,0.060584278,0.005780931,1.0
175,1356672,1.0,0.075386055,0.069265196,173654016.0,0.060584278,0.005780931,1.0
176,1369472,1.0,0.061028067,0.071558309,175292416.0,0.060584278,0.005780931,1.0
177,1382272,1.0,0.029639196,0.072379455,176930816.0,0.060584278,0.005780931,1.0
178,1395072,1.0,0.027328927,0.065711182,178569216.0,0.060584278,0.005780931,1.0
179,1407872,1.0,0.04039821,0.067864576,180207616.0,0.060584278,0.005780931,1.0
180,1420672,1.0,0.018552314,0.069041936,181846016.0,0.060584278,0.005780931,1.0
181,1433472,1.0,0.040217008,0.071016572,183484416.0,0.060584278,0.005780931,1.0
182,1446272,1.0,0.04241148,0.069915697,185122816.0,0.060584278,0.005780931,1.0
183,1459072,1.0,0.036811553,0.076013032,186761216.0,0.060584278,0.005780931,1.0
184,1471872,1.0,0.043119926,0.065445502,188399616.0,0.060584278,0.005780931,1.0
185,1484672,1.0,0.057616711,0.069532011,190038016.0,0.060584278,0.005780931,1.0
186,1497472,1.0,0.077580154,0.072151839,191676416.0,0.060584278,0.005780931,1.0
187,1510272,1.0,0.009336344,0.067328806,193314816.0,0.060584278,0.005780931,1.0
188,1523072,1.0,0.026988331,0.068366585,194953216.0,0.060584278,0.005780931,1.0
189,1535872,1.0,0.030890238,0.070393517,196591616.0,0.060584278,0.005780931,1.0
190,1548672,1.0,0.09124209,0.068911436,198230016.0,0.060584278,0.005780931,1.0
191,1561472,1.0,0.126287967,0.068755037,199868416.0,0.060584278,0.005780931,1.0
192,1574272,1.0,0.013364024,0.070410698,201506816.0,0.060584278,0.005780931,1.0
193,1587072,1.0,0.040173307,0.07538133,203145216.0,0.060584278,0.005780931,1.0
194,1599872,1.0,0.019150645,0.06784589,204783616.0,0.060584278,0.005780931,1.0
